type,mfg,mpn,time (s),current (a),band,source,notes
FLA - Code A,NEMA MG-1,Code A LRA,10000,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,100,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,1,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,0.01,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,0.001,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,10000,3.15,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,100,3.15,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,1,3.15,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,0.01,3.15,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
FLA - Code A,NEMA MG-1,Code A LRA,0.001,3.15,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code A upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code A is open-ended below (<=3.15), lower bound drawn at 3.15"
