type,mfg,mpn,time (s),current (a),band,source,notes
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,10000,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,8485.3,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,7200,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,2801.8,1.114,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,1090.3,1.183,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,424.26,1.255,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,165.1,1.332,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,64.245,1.413,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,25,1.5,min,"ASSUMED - 25 s min at 1.5x, not standard-defined",FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,18.747,1.825,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,14.059,2.22,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,10.542,2.701,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,7.9057,3.286,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,5.9284,3.998,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,4.4457,4.864,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,3.3338,5.918,min,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,2.5,7.2,min,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - min 2.5 s at 7.2x",
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,1.7184,9.295,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,1.1811,12,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,0.811819,15.49,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,0.557998,20,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,10000,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,8485.3,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,7200,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,3241.9,1.245,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,1459.7,1.293,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,657.27,1.342,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,295.95,1.392,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,133.25,1.445,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,60,1.5,max,"ASSUMED - 60 s at 1.5x, not standard-defined for this class",FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,43.98,1.825,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,32.237,2.22,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,23.63,2.701,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,17.321,3.286,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,12.696,3.998,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,9.306,4.864,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,6.8213,5.918,max,log-log interpolation between anchors,
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,5,7.2,max,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - max 5 s at 7.2x",
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,3.3362,9.295,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,2.226,12,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,1.4853,15.49,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 5,IEC 60947-4-1,Class 5 Thermal,0.99104,20,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,10000,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,8485.3,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,7200,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,3030.1,1.114,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,1275.2,1.183,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,536.66,1.255,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,225.85,1.332,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,95.047,1.413,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,40,1.5,min,"ASSUMED - 40 s min at 1.5x, not standard-defined",FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,27.506,1.825,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,18.915,2.22,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,13.007,2.701,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,8.9443,3.286,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,6.1506,3.998,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,4.2295,4.864,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,2.9084,5.918,min,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,2,7.2,min,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - min 2 s at 7.2x",
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,1.228,9.295,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,0.753954,12,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,0.462916,15.49,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,0.284223,20,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,10000,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,8485.3,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,7200,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,3638.9,1.245,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,1839.1,1.293,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,929.52,1.342,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,469.78,1.392,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,237.43,1.445,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,120,1.5,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.5x trip within 120 s (hot),
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,87.96,1.825,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,64.474,2.22,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,47.259,2.701,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,34.641,3.286,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,25.392,3.998,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,18.612,4.864,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,13.643,5.918,max,log-log interpolation between anchors,
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,10,7.2,max,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - max 10 s at 7.2x",
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,6.6724,9.295,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,4.4521,12,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,2.9706,15.49,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
